msnbot-207-46-13-6.search.msn.com; 207.46.13.6; /FLL2014/Resources/wheelconverter/; 19/Oct/2014:07:02:01; 47.6801,-122.1206; Redmond; Washington; US
msnbot-207-46-13-42.search.msn.com; 207.46.13.42; /FLL2014/Resources/Scorer/print.pdf; 19/Oct/2014:18:23:49; 47.6801,-122.1206; Redmond; Washington; US
crawl-66-249-69-54.googlebot.com; 66.249.69.54; /FLL2014/Resources/Scorer/; 19/Oct/2014:19:11:58; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 19/Oct/2014:19:49:55; 37.3860,-122.0838; Mountain View; California; US
msnbot-207-46-13-42.search.msn.com; 207.46.13.42; /FLL2014/Resources/misc/roles.pdf; 19/Oct/2014:21:05:43; 47.6801,-122.1206; Redmond; Washington; US
static-50-53-42-187.bvtn.or.frontiernet.net; 50.53.42.187; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:00:42:39; 45.5534,-122.8192; Portland; Oregon; US
wireless_broadband_router; 98.111.220.189; /FLL2014/Resources/Scorer/iphone/; 20/Oct/2014:01:46:33; 40.5048,-79.9132; Pittsburgh; Pennsylvania; US
ashas-iphone.home; 192.168.1.10; /FLL2014/Resources/drawplan/; 20/Oct/2014:02:27:40; ; None; None; None
wireless_broadband_router; 98.111.220.189; /FLL2014/Resources/Scorer/iphone/; 20/Oct/2014:02:27:45; 40.5048,-79.9132; Pittsburgh; Pennsylvania; US
wireless_broadband_router; 98.111.220.189; /FLL2014/Resources/Scorer/iphone/; 20/Oct/2014:02:29:33; 40.5048,-79.9132; Pittsburgh; Pennsylvania; US
ashas-iphone.home; 192.168.1.10; /FLL2014/Resources/drawplan/; 20/Oct/2014:02:29:58; ; None; None; None
crawl-66-249-69-22.googlebot.com; 66.249.69.22; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:05:59:49; 37.3860,-122.0838; Mountain View; California; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 20/Oct/2014:07:36:39; 37.3860,-122.0838; Mountain View; California; US
msnbot-207-46-13-42.search.msn.com; 207.46.13.42; /FLL2014/Resources/misc/roles.pdf; 20/Oct/2014:12:13:13; 47.6801,-122.1206; Redmond; Washington; US
fm-dyn-139-228-50-34.fast.net.id; 0.0.0.0; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:13:43:49; None; None; None; None
180.76.6.134; 180.76.6.134; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:14:26:41; 39.9289,116.3883; Beijing; Beijing; CN
208.94.43.52; 208.94.43.52; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:20:21:24; 40.3356,-79.5507; Greensburg; Pennsylvania; US
208.94.43.52; 208.94.43.52; /FLL2014/Resources/Scorer/; 20/Oct/2014:20:26:16; 40.3356,-79.5507; Greensburg; Pennsylvania; US
ded3126.sysms.net; 46.236.24.54; /FLL2014/Resources/drawplan/; 20/Oct/2014:20:27:24; 51.5000,-0.1300; None; None; GB
208.94.43.52; 208.94.43.52; /FLL2014/Resources/drawplan/; 20/Oct/2014:20:27:23; 40.3356,-79.5507; Greensburg; Pennsylvania; US
208.94.43.52; 208.94.43.52; /FLL2014/Resources/drawplan/; 20/Oct/2014:20:35:44; 40.3356,-79.5507; Greensburg; Pennsylvania; US
208.94.43.52; 208.94.43.52; /FLL2014/Resources/Scorer/; 20/Oct/2014:20:46:16; 40.3356,-79.5507; Greensburg; Pennsylvania; US
208.94.43.52; 208.94.43.52; /FLL2014/Resources/Scorer/; 20/Oct/2014:20:52:18; 40.3356,-79.5507; Greensburg; Pennsylvania; US
74.51.175.225; 74.51.175.225; /FLL2014/Resources/drawplan/; 20/Oct/2014:21:33:28; 40.2153,-79.6854; Yukon; Pennsylvania; US
crawl-66-249-69-22.googlebot.com; 66.249.69.22; /FLL2014/Resources/wheelconverter/; 20/Oct/2014:22:12:15; 37.3860,-122.0838; Mountain View; California; US
107.218.73.220; 107.218.73.220; /FLL2014/Resources/Scorer/print.pdf; 20/Oct/2014:22:36:14; 34.8601,-82.2464; Greenville; South Carolina; US
46-236-26-102.servers.dedipower.net; 0.0.0.0; /FLL2014/Resources/drawplan/; 20/Oct/2014:23:44:37; None; None; None; None
d149-67-42-183.col.wideopenwest.com; 67.149.183.42; /FLL2014/Resources/drawplan/; 21/Oct/2014:00:01:32; 40.1176,-83.1265; Dublin; Ohio; US
46-236-26-103.servers.dedipower.net; 0.0.0.0; /FLL2014/Resources/drawplan/; 21/Oct/2014:01:10:51; None; None; None; None
220.181.126.42; 220.181.126.42; /FLL2014/Resources/wheelconverter/; 21/Oct/2014:03:44:40; 39.9289,116.3883; Beijing; Beijing; CN
71-47-90-222.res.bhn.net; 0.0.0.0; /FLL2014/Resources/Scorer/; 21/Oct/2014:11:26:28; None; None; None; None
206.193.251.72.nauticom.net; 206.193.251.72; /FLL2014/EV3trainer/advanced/MyBlockLessons.pptx; 21/Oct/2014:13:43:17; 40.7219,-79.7469; Sarver; Pennsylvania; US
crawl-66-249-69-38.googlebot.com; 66.249.69.38; /FLL2014/Resources/Scorer/; 21/Oct/2014:14:02:21; 37.3860,-122.0838; Mountain View; California; US
pool-173-78-42-218.tampfl.fios.verizon.net; 173.78.42.218; /FLL2014/Resources/drawplan/; 21/Oct/2014:15:44:54; 28.0898,-82.5760; Tampa; Florida; US
crawl-66-249-69-54.googlebot.com; 66.249.69.54; /FLL2014/Resources/Scorer/; 21/Oct/2014:16:00:21; 37.3860,-122.0838; Mountain View; California; US
google-proxy-66-249-83-87.google.com; 66.249.83.87; /EV3trainer/EV3robot.pdf; 21/Oct/2014:18:04:56; 37.4192,-122.0574; Mountain View; California; US
crawl-66-249-69-54.googlebot.com; 66.249.69.54; /FLL2014/Resources/Scorer/; 21/Oct/2014:18:58:29; 37.3860,-122.0838; Mountain View; California; US
google-proxy-66-249-93-57.google.com; 66.249.93.57; /FLL2014/Resources/Scorer/; 21/Oct/2014:19:48:17; 37.4192,-122.0574; Mountain View; California; US
