103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:56;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:57;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:57;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:57;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:58;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:58;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:58;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:58;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:59;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:59;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:59;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:59;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:00;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:00;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:00;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:00;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:01;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:26:56;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:01;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:01;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:01;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:02;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:02;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:02;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:03;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:03;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:03;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:04;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:04;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:04;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:05;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:05;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:05;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:06;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:07;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:07;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:08;  109.78.84.200;   53.0000,-8.0000;   None;   None
109.78.84.200; 109.78.84.200; /beginner/EV3robot.pdf; 11/Oct/2014:12:27:08;  109.78.84.200;   53.0000,-8.0000;   None;   None
