103.1.70.66; 103.1.70.66; 5.2999,100.2605; Bayan Lepas; Pulau Pinang; MY
109.78.84.200; 109.78.84.200; 53.0000,-8.0000; None; None; IE
206.193.251.72; 206.193.251.72.nauticom.net; 40.7219,-79.7469; Sarver; Pennsylvania; US
108.219.129.150; 108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 44.5392,-88.0579; Green Bay; Wisconsin; US
24.218.177.142; c-24-218-177-142.hsd1.ma.comcast.net; 42.4853,-71.4418; Acton; Massachusetts; US
67.183.200.71; c-67-183-200-71.hsd1.wa.comcast.net; 47.1032,-122.8649; Olympia; Washington; US
108.18.3.55; pool-108-18-3-55.washdc.east.verizon.net; 38.8600,-77.0987; Arlington; Virginia; US
74.133.31.3; cpe-74-133-31-3.swo.res.rr.com; 37.9708,-87.4897; Evansville; Indiana; US
98.111.220.189; wireless_broadband_router; 40.5048,-79.9132; Pittsburgh; Pennsylvania; US
50.53.42.187; static-50-53-42-187.bvtn.or.frontiernet.net; 45.5534,-122.8192; Portland; Oregon; US
24.8.246.183; c-24-8-246-183.hsd1.co.comcast.net; 40.6265,-106.9272; Steamboat Springs; Colorado; US
103.1.70.66; 103.1.70.66; 5.2999,100.2605; Bayan Lepas; Pulau Pinang; MY
109.78.84.200; 109.78.84.200; 53.0000,-8.0000; None; None; IE
206.193.251.72; 206.193.251.72.nauticom.net; 40.7219,-79.7469; Sarver; Pennsylvania; US
108.219.129.150; 108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 44.5392,-88.0579; Green Bay; Wisconsin; US
24.218.177.142; c-24-218-177-142.hsd1.ma.comcast.net; 42.4853,-71.4418; Acton; Massachusetts; US
67.183.200.71; c-67-183-200-71.hsd1.wa.comcast.net; 47.1032,-122.8649; Olympia; Washington; US
108.18.3.55; pool-108-18-3-55.washdc.east.verizon.net; 38.8600,-77.0987; Arlington; Virginia; US
74.133.31.3; cpe-74-133-31-3.swo.res.rr.com; 37.9708,-87.4897; Evansville; Indiana; US
98.111.220.189; wireless_broadband_router; 40.5048,-79.9132; Pittsburgh; Pennsylvania; US
50.53.42.187; static-50-53-42-187.bvtn.or.frontiernet.net; 45.5534,-122.8192; Portland; Oregon; US
24.8.246.183; c-24-8-246-183.hsd1.co.comcast.net; 40.6265,-106.9272; Steamboat Springs; Colorado; US
71.81.89.212; 71-81-89-212.dhcp.stls.mo.charter.com; 38.0000,-97.0000; None; None; US
24.210.197.6; cpe-24-210-197-6.neo.res.rr.com; 41.3134,-81.4974; Macedonia; Ohio; US
70.123.193.163; cpe-70-123-193-163.satx.res.rr.com; 29.5689,-98.2229; Cibolo; Texas; US
107.77.68.86; 107.77.68.86; 37.6940,-85.8591; Elizabethtown; Kentucky; US
98.125.199.156; 98.125.199.156; 48.1987,-114.3857; Kalispell; Montana; US
69.28.46.114; cust-46114.ptera.net; 47.7877,-117.4555; Spokane; Washington; US
50.5.134.114; 50-5-134-114.dynamic.fuse.net; 38.0000,-97.0000; None; None; US
216.46.148.94; pppoe-148-94.hay.net; 43.3471,-81.6356; Dashwood; Ontario; CA
108.32.36.53; pool-108-32-36-53.phlapa.fios.verizon.net; 40.4242,-79.8913; Pittsburgh; Pennsylvania; US
99.60.169.52; 99-60-169-52.lightspeed.frsnca.sbcglobal.net; 36.8663,-119.6207; Clovis; California; US
108.18.10.180; pool-108-18-10-180.washdc.east.verizon.net; 38.8442,-77.0885; Arlington; Virginia; US
207.46.13.23; msnbot-207-46-13-23.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
157.55.39.201; msnbot-157-55-39-201.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
